XSTAR2a4;Q1a;Q1b;Q1c;Q1d;Q1e;Q1f;Q1g;Q1g_text;Q2a;Q2b;Q2c;Q2d;Q2e;Q2f;Q2g;Q2h;Q2h_text;Q3a;Q3b;Q3c;Q3d;Q3e;Q3f;Q4a;Q4b;Q4c;Q4d;Q4e;Q4f;Q4g;Q5a;Q5b;Q5c;Q5d;Q5e;Q5f;Q5g;Q6a;Q6b;Q6c;Q6d;Q6e;Q6f;Q6g;Q7a;Q7b;Q7c;Q7d;Q7e;Q7f;Q7g;Q8;Q8_12_text;Q9a;Q9b;Q9c;Q9d;Q10;Q11a;Q11b;Q11c;Q11d;Q11e;Q11f;Q11g;Q11g_text;Q12a;Q12b;Q12c;Q12d;Q12e;Q12f;Q12g;Q12h;Q12i;Q12j;Q12k;Q12l;Q12l_text;Q13;Q14a;Q14b;Q14c;Q14d;Q14e;Q14f;Q14f_text;Q15a;Q15b;Q15c;Q15d;Q16;Q17;Q18;Q19a;Q19b;Q19c;Q19d;Q19e;Q21a;Q22;Q23a;Q23b;Q23c;Q23d;Q23e;Q23f;Q23f_text;Q24;Q26;Q27;Q28;Q29;XSPOL;XIZ1a2;XIZ1a2_7_text;XDS2a4;Q30;Q30_7_text;Q31;XLOKACREGs;XSPOL1
Koliko ste stari?;Restavracije, kavarne, bari, ...;Oblačila in obutev;Osebna nega;Živila;Gospodinjstvo;Prosti čas/Zabava, kultura, rekreacija;Drugo:;Drugo:;Družina;Znanci;Bančno osebje;Spletna stran banke;Socialna omrežja;TV;Internet;Drugo:;Drugo:;Če jo uporablja moja družina;Priporočila prijateljev;Izbira bančnih paketov;Kakovost pomoči uporabnikom;Nizka cena;Dostopnost do banke in bankomatov oziroma digitalna dostopnost;Nova kreditna banka Maribor (NKBM);Nova ljubljanska banka (NLB);SKB;Delavska hranilnica;N26;Revolut;mBills;Nova kreditna banka Maribor (NKBM);Nova ljubljanska banka (NLB);SKB;Delavska hranilnica;N26;Revolut;mBills;Nova kreditna banka Maribor (NKBM);Nova ljubljanska banka (NLB);SKB;Delavska hranilnica ;N26;Revolut;mBills;Nova kreditna banka Maribor (NKBM);Nova ljubljanska banka (NLB);SKB;Delavska hranilnica;N26;Revolut;mBills;Katero fizično banko uporabljate?;Drugo:;Cena paketa na mesec;Dostopnost do banke in bankomatov oziroma digitalna dostopnost;Ugled banke;Kakovost pomoči uporabnikom;Koliko plačate na mesec za vaš bančni paket?;Spletni nakupi;Varčevalni račun;Prenos denarja med uporabniki (prijatelji, družino, znanci, ...);Plačevanje položnic;Digitalna denarnica za kartice;Dvig na bankomatu;Drugo:;Drugo:;Addiko Bank;Sparkasse;Intesa Sanpaolo;Delavska Hranilnica;Deželna banka Slovenija;Gorenjska banka;Nova KBM;NLB;Sberbank;SKB;Unicredit;Drugo:;Drugo:;Uporabljate Revolut, N26, mBills, Valu, ali druge podobne finančne/bančne rešitve?;Spletni nakupi;Brezplačni dvigi gotovine na bankomatih po svetu;Enostavna aplikacija;Brezplačna aplikacija;Priporočilo prijateljev;Drugo:;Drugo:;Cena paketa na mesec;Digitalna dostopnost;Ugled banke;Kakovost pomoči uporabnikom;"Ali uporabljate digitalne finančne/bančne storitve oziroma ""digitalne banke""?";Imate raje digitalno ali fizično banko?;Koliko ste pripravljeni plačati za bančni paket na mesec? (v EUR);Recikliram.;Uporabljam vrečko za ponovno uporabo, ko nakupujem.;Uporabljam steklenico za ponovno uporabo.;Varčujem z vodo.;Ne podpiram znamk, ki škodujejo okolju in družbi.;;Ali bi v vaši bančni aplikaciji radi videli kakšen vpliv imajo vaše nakupovalne navade na okolje?;Obdrži drobiž in Prihrani/Daruj:Pri vsakem nakupu se znesek nakupa zaokroži navzgor na naslednji evro. Razliko lahko prenesete na vaš varčevalni račun ali pa ga donirate organizaciji, ki se osredotoča na reševanje pomembnih okoljskih težav.;Sledilnik ogljičnega odtisa:Sledilnik predstavlja orodje, ki pove, kako vaše nakupovalne navade vplivajo na okolje. S tem bi bolje razumeli vaš vpliv na okolje in bili ozaveščeni, kako bi lahko zmanjšali vaš ogljični odtis.;Zeleno stanovanjsko posojilo:Če se odločite za nakup energetsko varčnega doma, vam banka odobri posojilo z nižjo obrestno mero.;Zeleno posojilo za nakup avta:Če se odločite za nakup električnega avtomobila, vam banka odobri posojilo z nižjo obrestno mero.;Zeleno posojilo za zeleno prenovo:Če se odločite za prenovo doma, ki vključuje spremembe, ki bodo pozitivno vplivale na okolje, vam banka odobri posojilo z nižjo obrestno mero.;Druge trajnostne finančne storitve:;Druge trajnostne finančne storitve:;Koliko bi bili pripravljeni plačati na mesec za bančni paket, ki vključuje rešitve opisane v zgornjem vprašanju? (v EUR);Za katero ceno na mesec bi rekli, da je zgoraj navedeni trajnostni bančni paket preveč poceni (da bi verjeli, da je ponudba kredibilna)? (v EUR, celo število - brez decimalnih mest);Za katero ceno na mesec bi rekli, da je zgoraj navedeni trajnostni bančni paket poceni? (v EUR, celo število - brez decimalnih mest);Za katero ceno na mesec bi rekli, da je zgoraj navedeni trajnostni bančni paket drag? (v EUR, celo število - brez decimalnih mest);Za katero ceno na mesec bi rekli, da je zgoraj navedeni trajnostni bančni paket predrag (da bi ga kupili)? (v EUR, celo število - brez decimalnih mest);Spol:;Kakšna je vaša najvišja dosežena formalna izobrazba? ;Drugo:;Kakšen je vaš trenutni status?;Koliko znaša vaš mesečni neto dohodek?;Drugo:;Ali živite s starši?;V kateri regiji prebivate?;Ali imate otroke?
7;0;0;0;1;1;0;0;-2;1;0;0;1;0;0;0;0;-2;5;5;6;6;6;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
6;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
6;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
6;0;0;0;0;0;0;1;Investicije;1;0;0;0;0;0;1;0;-2;5;5;2;5;7;6;6;6;-99;4;6;-99;-99;5;-99;-99;-99;1;-99;-99;6;7;-99;4;6;-99;-99;-99;-99;-99;-99;-99;-99;-99;7;-2;3;6;6;5;3;-1;4;5;3;1;4;-1;-1;0;0;0;0;0;0;1;1;0;0;0;0;-2;1;6;7;7;7;6;-1;-1;7;7;6;4;1;1;0;6;5;5;4;2;5;1;5;6;6;6;6;-1;-1;2;2;3;5;5;1;1;-2;1;2;-2;1;4;1
9;1;0;0;1;0;1;0;-2;1;0;0;0;0;0;1;0;-2;5;5;7;7;7;7;-99;4;4;3;-99;-99;-99;7;7;7;7;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;8;-2;5;5;5;5;3;3;1;2;3;1;2;-1;-1;0;0;0;1;0;0;0;1;0;0;0;0;-2;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;5;5;7;3;3;1;1;1;7;7;7;7;7;-1;-1;5;3;3;6;10;2;1;-2;2;4;-2;1;4;2
6;1;0;0;0;0;1;0;-2;1;0;0;0;1;0;0;0;-2;6;5;7;7;5;7;-99;6;-99;-99;-99;6;-99;-99;6;-99;-99;-99;7;-99;7;7;7;6;7;7;7;7;7;-99;5;-99;6;-99;8;-2;7;7;7;7;1;3;4;2;1;1;5;-1;-1;0;0;0;0;0;0;0;1;0;1;0;0;-2;1;7;7;7;7;7;-1;-1;7;7;6;5;2;-2;10;7;7;7;7;5;7;1;3;5;7;7;7;-1;-1;12;5;10;20;20;1;4;-2;1;2;-2;1;8;2
9;0;0;0;0;1;0;0;-2;1;0;0;1;0;0;0;0;-2;7;5;5;7;6;7;7;-99;-99;-99;-99;-99;-99;7;-99;-99;-99;-99;-99;-99;6;6;-99;6;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;7;-2;5;7;6;5;3;3;1;3;3;2;3;-1;-1;0;0;0;0;0;0;1;0;0;0;0;0;-2;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;2;5;5;6;5;6;4;4;1;4;5;7;7;7;-1;-1;7;1;3;10;6;2;4;-2;2;4;-2;1;4;2
7;0;1;0;1;0;0;0;-2;1;0;0;1;0;1;0;0;-2;7;3;3;4;5;6;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
9;0;1;0;1;0;0;0;-2;1;0;0;1;1;0;0;0;-2;6;6;7;7;7;7;7;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;6;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;7;-2;7;7;7;7;1;3;3;4;1;1;1;1;-1;0;0;1;0;0;0;1;0;0;0;0;0;-2;1;1;1;1;1;1;1;-1;7;7;-99;-99;2;-2;3;5;7;7;5;3;5;1;7;7;7;7;7;-1;-1;5;3;5;10;13;2;4;-2;1;1;-2;2;12;2
